"Around[0.484, 0.3008674328025752]","Around[0.516, 0.3008674328025752]"
"Around[0.48479999999999995, 0.28925707694999714]","Around[0.5151999999999999, 0.28925707694999714]"
"Around[0.48480000000000023, 0.2959268268824016]","Around[0.5151999999999998, 0.2959268268824016]"
"Around[0.49759999999999993, 0.28311799303434954]","Around[0.5024000000000001, 0.28311799303434954]"
"Around[0.5059999999999999, 0.274395570833294]","Around[0.4940000000000001, 0.274395570833294]"
"Around[0.5101999999999998, 0.2661585310230796]","Around[0.48980000000000024, 0.2661585310230796]"
"Around[0.5166000000000001, 0.2820710563104283]","Around[0.48339999999999994, 0.2820710563104283]"
"Around[0.5169999999999997, 0.28583211855912904]","Around[0.4830000000000001, 0.28583211855912904]"
"Around[0.5167999999999999, 0.2780555863328574]","Around[0.48320000000000013, 0.2780555863328574]"
"Around[0.5115999999999999, 0.2787443707815895]","Around[0.48840000000000006, 0.2787443707815895]"
"Around[0.5064000000000001, 0.28590992436165075]","Around[0.4935999999999999, 0.28590992436165075]"
"Around[0.5030000000000002, 0.28452867281974525]","Around[0.4969999999999997, 0.28452867281974525]"
"Around[0.49300000000000027, 0.2739958710888494]","Around[0.5069999999999998, 0.2739958710888494]"
"Around[0.5110000000000001, 0.27640367200706634]","Around[0.4889999999999998, 0.27640367200706634]"
"Around[0.5077999999999999, 0.2762943094863618]","Around[0.49219999999999997, 0.2762943094863618]"
"Around[0.5124, 0.2816227148781745]","Around[0.48760000000000003, 0.2816227148781745]"
"Around[0.4982, 0.2651791085209384]","Around[0.5017999999999999, 0.26517910852093834]"
"Around[0.5045999999999999, 0.2623877152827722]","Around[0.4954, 0.2623877152827722]"
"Around[0.5220000000000001, 0.2593776545440406]","Around[0.4779999999999999, 0.2593776545440406]"
"Around[0.5206000000000001, 0.2632117862946955]","Around[0.4794, 0.2632117862946955]"
"Around[0.5179999999999998, 0.24909533285167115]","Around[0.4820000000000001, 0.24909533285167115]"
"Around[0.5170000000000001, 0.2588611421381952]","Around[0.4829999999999998, 0.2588611421381952]"
"Around[0.5245999999999998, 0.26494680236003615]","Around[0.4754000000000002, 0.26494680236003615]"
"Around[0.5268, 0.26960832046627653]","Around[0.47319999999999995, 0.26960832046627653]"
"Around[0.5208000000000004, 0.2706359140613048]","Around[0.4791999999999997, 0.2706359140613048]"
"Around[0.5266, 0.28103783130792664]","Around[0.4734000000000001, 0.28103783130792664]"
"Around[0.539, 0.27091129414059]","Around[0.46099999999999997, 0.27091129414059]"
"Around[0.5490000000000002, 0.28440084103925994]","Around[0.45099999999999985, 0.28440084103925994]"
"Around[0.5560000000000002, 0.28567128103482997]","Around[0.4439999999999999, 0.28567128103482997]"
"Around[0.5440000000000005, 0.2825997633803437]","Around[0.4559999999999996, 0.2825997633803437]"
"Around[0.5518000000000001, 0.2811821365936925]","Around[0.44819999999999993, 0.2811821365936925]"
"Around[0.5484000000000001, 0.2771599108125419]","Around[0.4515999999999999, 0.2771599108125419]"
"Around[0.5474, 0.2855673778160371]","Around[0.4525999999999999, 0.2855673778160371]"
"Around[0.5522, 0.29185432923797705]","Around[0.44780000000000003, 0.29185432923797705]"
"Around[0.5332, 0.30148749073669223]","Around[0.46679999999999994, 0.30148749073669223]"
"Around[0.5384, 0.28918107989579295]","Around[0.46159999999999995, 0.28918107989579295]"
"Around[0.5370000000000003, 0.3005365572142967]","Around[0.46299999999999975, 0.30053655721429673]"
"Around[0.5379999999999999, 0.29509799776146955]","Around[0.4620000000000001, 0.29509799776146955]"
"Around[0.5484000000000002, 0.29746647379209484]","Around[0.4515999999999999, 0.29746647379209484]"
"Around[0.5392000000000001, 0.27946442284549144]","Around[0.4607999999999998, 0.27946442284549144]"
"Around[0.5149999999999999, 0.28693257575657566]","Around[0.4850000000000001, 0.28693257575657566]"
"Around[0.5009999999999998, 0.27270993210865474]","Around[0.4990000000000003, 0.27270993210865474]"
"Around[0.5034000000000001, 0.25943302594213974]","Around[0.4966, 0.25943302594213974]"
"Around[0.5171999999999999, 0.2678763471711106]","Around[0.48280000000000006, 0.2678763471711106]"
